,R_squared
hepatocyte,0.31577655970597174
Kupffer cell,0.7106003294743102
hepatocyte,0.31577655970597174
Kupffer cell,0.7106003294743102
hepatocyte,0.31577655970597174
Kupffer cell,0.7106003294743102
